file,location,frequency,status,error,header_found,rows_after_datetime_parse,mapped_columns_count,missing_cells,rows_with_missing,invalid_negative,invalid_gt500,duplicate_timestamps,irregular_gaps
c:\Users\annam\OneDrive\Desktop\ML_Project\Datasets\DCR AIIMS\2024\Feb-24\DCR AIIMS_RAIPUR_ Hourly - FEB-2024.xls,AIIMS,Hourly,ok,,True,23.0,12.0,29.0,23.0,0.0,0.0,0.0,0.0
c:\Users\annam\OneDrive\Desktop\ML_Project\Datasets\DCR AIIMS\2024\Jan-24\DCR AIIMS_RAIPUR _ QUAT - JAN -2024.xls,AIIMS,Quarterly,ok,,True,95.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0
c:\Users\annam\OneDrive\Desktop\ML_Project\Datasets\DCR AIIMS\2024\Jan-24\DCR AIIMS_RAIPUR_ Hourly - JAN-2024.xls,AIIMS,Hourly,ok,,True,23.0,12.0,2.0,1.0,0.0,0.0,0.0,0.0
c:\Users\annam\OneDrive\Desktop\ML_Project\Datasets\DCR AIIMS\2024\Jul - 24\DCR AIIMS_RAIPUR _ HOUR - JUL -2024.xls,AIIMS,Hourly,ok,,True,23.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0
c:\Users\annam\OneDrive\Desktop\ML_Project\Datasets\DCR AIIMS\2024\Jul - 24\DCR AIIMS_RAIPUR _ QUAT - JUL-2024.xls,AIIMS,Quarterly,ok,,True,95.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0
c:\Users\annam\OneDrive\Desktop\ML_Project\Datasets\DCR AIIMS\2024\Jun- 24\DCR AIIMS_RAIPUR _ QUAT - JUN -2024.xls,AIIMS,Quarterly,ok,,True,95.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0
c:\Users\annam\OneDrive\Desktop\ML_Project\Datasets\DCR AIIMS\2024\Jun- 24\DCR AIIMS_RAIPUR_ Hourly - JUN-2024.xls,AIIMS,Hourly,ok,,True,23.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0
c:\Users\annam\OneDrive\Desktop\ML_Project\Datasets\DCR AIIMS\2024\Mar-24\DCR AIIMS_RAIPUR _ QUAT - MAR -2024.xls,AIIMS,Quarterly,ok,,True,95.0,12.0,15.0,5.0,0.0,0.0,0.0,0.0
c:\Users\annam\OneDrive\Desktop\ML_Project\Datasets\DCR AIIMS\2024\Mar-24\DCR AIIMS_RAIPUR_ Hourly - MAR-2024.xls,AIIMS,Hourly,ok,,True,23.0,12.0,44.0,14.0,0.0,0.0,0.0,0.0
c:\Users\annam\OneDrive\Desktop\ML_Project\Datasets\DCR AIIMS\2024\May- 24\DCR AIIMS_RAIPUR _ QUAT - MAY -2024.xls,AIIMS,Quarterly,ok,,True,95.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0
c:\Users\annam\OneDrive\Desktop\ML_Project\Datasets\DCR AIIMS\2024\May- 24\DCR AIIMS_RAIPUR_ Hourly - MAY-2024.xls,AIIMS,Hourly,ok,,True,23.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0
c:\Users\annam\OneDrive\Desktop\ML_Project\Datasets\DCR AIIMS\2024\Nov -24\DCR AIIMS_RAIPUR _ QUAT - NOV -2024.xls,AIIMS,Quarterly,ok,,True,95.0,12.0,96.0,12.0,0.0,0.0,0.0,0.0
c:\Users\annam\OneDrive\Desktop\ML_Project\Datasets\DCR AIIMS\2024\Nov -24\DCR AIIMS_RAIPUR_ Hourly - NOV-2024.xls,AIIMS,Hourly,ok,,True,23.0,12.0,36.0,9.0,0.0,0.0,0.0,0.0
c:\Users\annam\OneDrive\Desktop\ML_Project\Datasets\DCR AIIMS\2024\Oct-24\DCR AIIMS_RAIPUR _ QUAT - OCT-2024.xls,AIIMS,Quarterly,ok,,True,95.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0
